"station1", "station2", "line", "distance ", "time" 
11, 163, 1, 0.5, 1.08333
11, 212, 1, 0.88, 1.68333
49, 87, 1, 0.37, 0.95
49, 197, 1, 1.14506, 2.46154
82, 163, 1, 0.70028, 1.66888
82, 193, 1, 1.03034, 2.38422
84, 148, 1, 1.10507, 2.6033
87, 279, 1, 0.71, 1.43333
113, 246, 1, 2.02582, 4.23922
113, 298, 1, 1.05, 1.65
114, 140, 1, 1.91354, 3.9295
137, 206, 1, 1.74963, 3.9219
137, 298, 1, 1.88525, 4.24211
140, 237, 1, 1.4, 1.88333
143, 159, 1, 0.88, 1.48333
143, 206, 1, 1.00377, 2.34254
148, 279, 1, 0.63, 1.45
159, 278, 1, 0.79, 1.5
185, 237, 1, 1.21465, 2.65137
185, 281, 1, 1.27, 1.91667
192, 197, 1, 0.97, 1.95
192, 212, 1, 1.49702, 3.10886
193, 278, 1, 1.39993, 2.99392
246, 281, 1, 1.71, 2.41667
13, 156, 2, 0.74, 1.61667
13, 250, 2, 1.0803, 2.61976
16, 91, 2, 1.22, 1.56667
16, 173, 2, 1.51313, 3.22831
24, 156, 2, 2.27, 2.76667
24, 164, 2, 1.64, 1.98333
28, 162, 2, 1.06351, 2.30602
28, 192, 2, 0.66, 1.1
37, 158, 2, 1.83, 2.35
37, 301, 2, 2.50324, 5.27149
48, 126, 2, 0.939418, 2.22045
48, 250, 2, 1.53479, 3.30404
51, 103, 2, 1.32, 1.73333
51, 215, 2, 2.28, 2.45
68, 158, 2, 2.03, 2.66667
68, 256, 2, 3.35, 3
72, 286, 2, 1.53, 2.28333
76, 181, 2, 1.41504, 3.27136
76, 296, 2, 2.06, 2.56667
88, 256, 2, 2.86007, 6.07115
91, 109, 2, 0.919686, 2.02976
98, 173, 2, 2.37, 2.68333
98, 211, 2, 1.55692, 3.48136
103, 109, 2, 1.25824, 2.7117
105, 177, 2, 1.79, 2.15
105, 196, 2, 1.69, 1.85
112, 181, 2, 2.49, 2.85
112, 196, 2, 2.35599, 5.18038
126, 259, 2, 0.89, 1.38333
127, 186, 2, 0.784419, 1.72074
127, 226, 2, 1.41543, 3.17621
149, 162, 2, 1.21, 1.91667
149, 208, 2, 0.9, 1.65
153, 154, 2, 1.63, 2.01667
153, 247, 2, 2.09, 2.43333
154, 230, 2, 2.05584, 4.52271
154, 275, 2, 2.04468, 4.46366
164, 247, 2, 2.83, 3.18333
177, 239, 2, 2.5791, 5.32226
181, 286, 2, 1.77, 2.51667
186, 208, 2, 0.69, 1.16667
192, 259, 2, 1.03283, 2.42886
211, 275, 2, 1.22, 1.58333
215, 301, 2, 1.34, 2.03333
221, 239, 2, 1.39439, 3.24612
221, 294, 2, 2.36559, 4.98893
226, 296, 2, 1.18142, 2.73014
230, 241, 2, 1.29, 1.61667
241, 301, 2, 1.8, 1.9
2, 156, 3, 0.87174, 2.07459
2, 263, 3, 0.906719, 2.23487
11, 83, 3, 1.39023, 3.11342
11, 104, 3, 1.36603, 3.10929
14, 92, 3, 0.776498, 1.88989
14, 167, 3, 1.10103, 2.66256
18, 186, 3, 0.79, 1.46667
18, 193, 3, 1.10997, 2.37467
25, 161, 3, 0.89416, 1.91351
25, 255, 3, 0.95898, 2.37382
44, 161, 3, 0.31, 0.933333
44, 166, 3, 0.34, 0.966667
83, 193, 3, 0.859451, 1.95226
87, 255, 3, 0.71, 1.36667
87, 285, 3, 0.919567, 2.33558
90, 104, 3, 0.61, 1.3
90, 145, 3, 1.27939, 2.94615
92, 145, 3, 2.12883, 4.4115
99, 122, 3, 1.32486, 3.03468
99, 236, 3, 0.71, 1.28333
122, 186, 3, 1.09001, 2.58367
156, 167, 3, 0.51, 1.31667
166, 263, 3, 1.08353, 2.47437
229, 236, 3, 1.22, 2
229, 273, 3, 1.05, 1.8
248, 273, 3, 1.06559, 2.61546
248, 285, 3, 0.927183, 1.98912
3, 263, 4, 0.8, 1.86667
3, 295, 4, 1.07851, 2.51768
15, 78, 4, 2.29, 2.86667
15, 269, 4, 1.76547, 3.92874
17, 110, 4, 1.19432, 2.76124
17, 293, 4, 0.64, 1.28333
18, 186, 4, 0.79, 1.46667
18, 193, 4, 1.04002, 2.5055
21, 67, 4, 1.86174, 4.15072
21, 269, 4, 1.87, 2.33333
25, 161, 4, 0.945811, 2.11022
25, 255, 4, 1.038, 2.22674
33, 36, 6, 1.35828, 3.08995
306, 307, 13, 1.39239, 3.26881
33, 164, 4, 1.01653, 2.25049
36, 289, 4, 1.55089, 3.33662
44, 161, 4, 0.31, 0.933333
44, 166, 4, 0.34, 0.966667
52, 1, 4, 1.68079, 3.86115
52, 265, 4, 0.95, 1.48333
66, 67, 4, 1.35, 1.83333
66, 85, 4, 2.37, 2.85
72, 73, 4, 1.5, 2.66667
73, 1, 4, 1.03, 1.83333
74, 99, 4, 1.48169, 3.36653
74, 122, 4, 1.18154, 2.61264
74, 138, 4, 1.25946, 2.71313
74, 287, 4, 0.961894, 2.39777
74, 293, 4, 1.04936, 2.27253
78, 270, 4, 1.4, 2
80, 205, 4, 1.11, 1.85
80, 231, 4, 1.53, 2.35
83, 193, 4, 0.91704, 1.96081
85, 129, 4, 1.99609, 4.38667
87, 255, 4, 0.71, 1.36667
87, 285, 4, 1.2327, 2.62219
96, 195, 4, 0.79, 1.5
96, 287, 4, 0.84, 1.56667
99, 236, 4, 0.71, 1.28333
108, 141, 4, 2.18163, 4.79058
108, 265, 4, 1.59, 2.6
110, 209, 4, 1.10107, 2.30778
122, 186, 4, 1.47635, 3.30839
129, 268, 4, 1.26, 1.76667
141, 213, 4, 2.14, 4.1
164, 244, 4, 1.05, 1.71667
166, 263, 4, 1.01241, 2.5172
195, 205, 4, 1.05979, 2.3502
200, 270, 4, 1.29, 1.96667
200, 289, 4, 1.15683, 2.64442
209, 242, 4, 0.77, 1.36667
229, 236, 4, 1.22, 2
229, 273, 4, 1.05, 1.8
231, 300, 4, 1.45, 2.05
242, 265, 4, 0.854161, 1.9573
244, 295, 4, 1.37823, 2.94019
248, 273, 4, 1.3389, 3.13855
248, 285, 4, 0.924594, 2.06509
267, 268, 4, 1.24, 2.08333
299, 300, 4, 1.94879, 4.23099
41, 216, 5, 0.76058, 1.93221
41, 253, 5, 0.851091, 2.12927
174, 253, 5, 2.27, 3.61667
175, 253, 5, 2.04, 2.8
216, 276, 5, 0.51, 1.16667
225, 276, 5, 1.03082, 2.16371
225, 295, 5, 0.98, 1.98333
228, 295, 5, 0.904445, 2.18056
3, 156, 6, 0.92, 2.11667
3, 295, 6, 1.27664, 2.99667
11, 83, 6, 1.13987, 2.38481
11, 104, 6, 1.40487, 3.11314
14, 92, 6, 0.839345, 1.8866
14, 167, 6, 0.819365, 2.12778
15, 78, 6, 2.29, 2.86667
33, 36, 4, 1.34388, 2.99857
305, 306, 13, 1.58138, 3.46711
33, 164, 6, 0.887413, 1.97719
36, 289, 6, 1.43069, 2.9816
78, 270, 6, 1.4, 2
83, 193, 6, 0.897192, 1.94132
90, 104, 6, 0.61, 1.3
90, 145, 6, 1.09611, 2.67689
92, 145, 6, 2.12562, 4.48481
101, 110, 6, 1.102, 2.45622
101, 227, 6, 0.55828, 1.30164
147, 150, 6, 0.66, 1.28333
147, 283, 6, 0.79, 1.48333
150, 227, 6, 1.51976, 3.1961
156, 167, 6, 0.51, 1.31667
164, 244, 6, 1.05, 1.71667
193, 218, 6, 1.25013, 2.9064
200, 270, 6, 1.29, 1.96667
200, 289, 6, 1.14331, 2.65417
218, 283, 6, 0.98, 1.71667
244, 295, 6, 1.43896, 3.3076
11, 28, 7, 1.66, 2.1
11, 249, 7, 2.12214, 4.42173
23, 41, 7, 1.06, 1.48333
23, 157, 7, 1.93, 2.16667
28, 107, 7, 1.37, 1.78333
41, 42, 7, 2.41, 2.5
42, 183, 7, 2.11846, 4.36898
43, 183, 7, 1.71, 2.16667
43, 289, 7, 1.58, 2.15
45, 207, 7, 1.71, 1.93333
45, 243, 7, 1.55685, 3.21458
71, 172, 7, 0.85, 1.38333
71, 297, 7, 1.35257, 3.09126
94, 254, 7, 0.768641, 1.97365
94, 290, 7, 0.888346, 1.96519
107, 285, 7, 1.63449, 3.53137
142, 290, 7, 1.09, 1.63333
142, 297, 7, 1.19, 2.06667
144, 207, 7, 1.33, 1.85
144, 282, 7, 2.85, 3.46667
157, 233, 7, 1.59366, 3.37915
172, 282, 7, 2.28, 2.65
233, 279, 7, 1.10121, 2.50528
247, 289, 7, 1.9617, 4.34646
249, 254, 7, 1.11665, 2.59648
279, 285, 7, 0.96, 1.43333
2, 156, 8, 0.755562, 1.65279
6, 46, 8, 3.27, 3.65
11, 104, 8, 1.29963, 2.96554
11, 94, 8, 3.48182, 7.44858
14, 92, 8, 0.663461, 1.4523
14, 167, 8, 0.926177, 2.32639
46, 50, 8, 6.19, 9.48333
46, 53, 8, 3.43, 3.68333
53, 214, 8, 3.59102, 7.53582
62, 168, 8, 2.94, 4.41667
62, 280, 8, 2.22685, 4.95149
75, 210, 8, 2.23027, 4.86969
75, 222, 8, 1.14, 1.73333
90, 104, 8, 0.61, 1.3
90, 145, 8, 1.28726, 2.93813
92, 145, 8, 1.88262, 3.97188
304, 305, 13, 0.921129, 2.16676
94, 282, 8, 7.24, 7.05
115, 178, 8, 1.29, 1.9
115, 184, 8, 2, 3.18333
115, 291, 8, 1.26, 2.31667
125, 134, 8, 1.08, 1.6
125, 271, 8, 2.57114, 5.53801
134, 220, 8, 1.85, 2.3
156, 167, 8, 0.51, 1.31667
168, 179, 8, 2.22, 2.86667
168, 214, 8, 3.49, 4.13333
178, 202, 8, 1.9612, 4.08999
179, 180, 8, 1.61, 2.2
180, 199, 8, 2.28952, 4.96405
184, 199, 8, 1.91912, 4.12739
202, 282, 8, 1.46, 1.98333
210, 291, 8, 1.38, 2.08333
220, 222, 8, 0.72, 1.3
7, 145, 9, 1.42723, 3.10306
7, 188, 9, 1.45, 2.86667
8, 124, 9, 1.71, 2.75
8, 264, 9, 1.27138, 3.00918
12, 56, 9, 1.16, 1.8
12, 257, 9, 0.98, 1.66667
13, 157, 9, 1.3877, 3.21564
13, 167, 9, 0.82, 1.76667
22, 47, 9, 1.11, 1.76667
22, 111, 9, 1.21, 2.01667
29, 84, 9, 1.31124, 3.02709
29, 157, 9, 1.07538, 2.55342
34, 100, 9, 1.56, 2.56667
34, 119, 9, 1.11, 1.83333
38, 58, 9, 1.32, 1.98333
38, 81, 9, 1.47, 3.36667
40, 47, 9, 1.4356, 3.3545
40, 89, 9, 1.50592, 3.35386
40, 139, 9, 1.39288, 3.09364
40, 170, 9, 0.64, 1.63333
49, 87, 9, 0.37, 0.95
49, 151, 9, 0.47, 1.16667
54, 55, 9, 0.92438, 2.32965
54, 56, 9, 1.26, 2
55, 245, 9, 1.07816, 2.63745
58, 119, 9, 2.64472, 5.59968
59, 240, 9, 1.14, 1.88333
59, 258, 9, 1.5231, 3.43214
77, 93, 9, 2.82438, 6.01853
77, 124, 9, 1.91033, 4.09394
84, 136, 9, 0.909471, 2.15586
87, 279, 9, 0.71, 1.43333
89, 145, 9, 1.08571, 2.63741
89, 170, 9, 0.879212, 2.17202
89, 277, 9, 0.76, 1.3
93, 165, 9, 1.52, 2.98333
93, 288, 9, 1.32785, 2.83075
100, 111, 9, 2.35, 3.41667
102, 259, 9, 0.63, 1.31667
102, 277, 9, 1.01746, 2.15994
121, 261, 9, 2.48, 3.66667
136, 191, 9, 1.34816, 3.12524
136, 279, 9, 2.09369, 4.66655
139, 264, 9, 0.8, 1.58333
151, 259, 9, 0.729437, 1.81726
167, 188, 9, 1.19261, 2.69654
169, 240, 9, 1.97142, 4.36762
191, 245, 9, 1.37, 2.2
257, 258, 9, 1.44892, 3.33251
261, 302, 9, 1.51, 2.23333
288, 302, 9, 0.98, 1.55
1, 73, 10, 1.03, 1.71667
1, 234, 10, 2.2, 2.8
1, 265, 10, 2.35586, 5.17795
5, 194, 10, 1.98, 2.2
5, 252, 10, 1.58, 2.03333
9, 31, 10, 1.26, 2.25
9, 232, 10, 1.95, 2.8
10, 128, 10, 0.943362, 2.34257
10, 95, 10, 0.69, 1.38333
17, 74, 10, 1.56409, 3.40328
17, 110, 10, 1.25231, 2.65913
30, 176, 10, 1, 1.98333
30, 190, 10, 2.93856, 6.3054
31, 303, 10, 1.53, 2.2
39, 128, 10, 0.8037, 1.84873
39, 145, 10, 2.19813, 4.82653
57, 187, 10, 1.44294, 3.14963
60, 126, 10, 0.6, 1.4
60, 151, 10, 0.571915, 1.34091
73, 182, 10, 0.95, 1.88333
74, 99, 10, 1.14125, 2.629
75, 210, 10, 1.9595, 4.31563
75, 222, 10, 1.14, 1.73333
99, 236, 10, 0.71, 1.28333
107, 133, 10, 1.06, 1.73333
107, 197, 10, 1.01374, 2.26574
110, 265, 10, 2.36348, 5.12473
116, 117, 10, 2.28883, 5.06128
116, 118, 10, 2.36061, 5.0283
116, 132, 10, 2.91, 3.25
117, 118, 10, 1.48528, 3.33391
125, 134, 10, 1.08, 1.6
125, 271, 10, 2.51282, 5.38325
126, 223, 10, 0.72, 1.55
130, 131, 10, 0.74, 1.3
130, 132, 10, 1.46, 1.85
131, 190, 10, 0.97, 1.53333
133, 146, 10, 1.0536, 2.27901
134, 220, 10, 1.85, 2.3
145, 223, 10, 1.07449, 2.39131
146, 236, 10, 1.43149, 3.02874
151, 197, 10, 0.5, 1.06667
160, 266, 10, 2.32, 2.88333
176, 234, 10, 0.72911, 1.74182
182, 194, 10, 1.33941, 3.1336
187, 232, 10, 1.87, 2.36667
210, 235, 10, 1.9, 2.58333
220, 222, 10, 0.72, 1.3
235, 251, 10, 1.48004, 3.33147
251, 252, 10, 1.66, 2.03333
266, 303, 10, 0.98, 1.56667
26, 260, 11, 1.37, 1.9
26, 274, 11, 2.03603, 4.3123
35, 245, 11, 1.46, 2.18333
89, 145, 11, 0.93029, 2.16598
89, 277, 11, 0.76, 1.3
95, 123, 11, 2.19643, 4.64308
95, 224, 11, 3.15, 4.25
107, 192, 11, 1.14, 1.96667
107, 273, 11, 1.57702, 3.49561
123, 145, 11, 2.33688, 4.98132
192, 277, 11, 1.20667, 2.6465
198, 272, 11, 0.8, 1.4
198, 273, 11, 1.19, 2.18333
224, 260, 11, 1.43658, 3.04814
245, 272, 11, 1.77, 2.23333
13, 279, 12, 2.37, 4.2
4, 70, 13, 1.51971, 3.43843
4, 201, 13, 0.808392, 2.00171
13, 225, 13, 2.73162, 5.76256
19, 97, 13, 1.14839, 2.56319
20, 65, 13, 0.800554, 1.92492
20, 217, 13, 1.05449, 2.26402
27, 79, 13, 0.684539, 1.66154
27, 201, 13, 1.23135, 2.63411
32, 70, 13, 0.883275, 1.94603
32, 204, 13, 1.31603, 2.90604
42, 120, 13, 0.681572, 1.55781
42, 292, 13, 0.648469, 1.54613
43, 79, 13, 1.25731, 2.85819
43, 219, 13, 1.36311, 3.05715
61, 171, 13, 0.856467, 2.00499
61, 238, 13, 1.08429, 2.60849
63, 203, 13, 0.892291, 2.22241
63, 219, 13, 1.12185, 2.63081
64, 106, 13, 0.874042, 1.87236
64, 135, 13, 0.598824, 1.51093
65, 97, 13, 0.904719, 2.13456
69, 86, 13, 0.71854, 1.83476
69, 106, 13, 1.08975, 2.29429
86, 152, 13, 0.805626, 1.88111
120, 238, 13, 0.498015, 1.27789
135, 171, 13, 0.688384, 1.4788
155, 225, 13, 1.33091, 2.84924
155, 284, 13, 1.33457, 3.00651
201, 284, 13, 0.795621, 1.89531
201, 292, 13, 0.533896, 1.30625
203, 217, 13, 1.30486, 2.76332
204, 247, 13, 1.28045, 2.66468
225, 262, 13, 1.56868, 3.43307
284, 292, 13, 0.915513, 2.17829
95, 160, 10, 1.38322, 2.89966
43, 304, 13, 1.79174, 3.93668
